                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.71019,                0.13188,                0.07817,                0.41061,                0.97574,                0.99885,                      1,                  0.995,                0.82432,                0.99885,                      1,                  0.995,                0.99273,                0.76241,                0.05698,                0.01078,                0.39691,                 1.0515,              0.0017921,              0.0017921,              0.0017921
                     24,                0.72752,                0.15279,                0.08224,                0.42889,                0.98345,                0.99924,                      1,                  0.995,                 0.8418,                0.99924,                      1,                  0.995,                0.99443,                0.76681,                0.06173,                0.00926,                0.39405,                 1.0872,              0.0017822,              0.0017822,              0.0017822
                     25,                0.71384,                0.14803,                0.08719,                0.42565,                0.96585,                0.99866,                      1,                  0.995,                0.84296,                0.99866,                      1,                  0.995,                  0.995,                0.70323,                0.05727,                0.01623,                0.37213,                 1.0208,              0.0017723,              0.0017723,              0.0017723
                     26,                0.69714,                0.13803,                0.08371,                0.41499,                0.96356,                0.99903,                      1,                  0.995,                0.80507,                0.99903,                      1,                  0.995,                0.99186,                0.76734,                0.06768,                0.01074,                 0.3962,                 1.0561,              0.0017624,              0.0017624,              0.0017624
                     27,                0.73059,                0.13182,                0.08479,                0.42857,                0.98088,                0.99868,                      1,                  0.995,                0.83186,                0.99868,                      1,                  0.995,                0.99348,                0.68965,                 0.0707,                 0.0101,                0.34919,                 1.0226,              0.0017525,              0.0017525,              0.0017525
                     28,                 0.7072,                0.11523,                0.06336,                0.40376,                0.96983,                 0.9985,                      1,                  0.995,                0.82553,                 0.9985,                      1,                  0.995,                  0.995,                 0.7523,                 0.0561,                0.00862,                0.36762,                 1.0605,              0.0017426,              0.0017426,              0.0017426
                     29,                0.70008,                0.11113,                0.06048,                0.39682,                0.97582,                0.99888,                      1,                  0.995,                0.84015,                0.99888,                      1,                  0.995,                  0.995,                 0.6964,                0.04238,                  0.007,                0.35796,                 1.0344,              0.0017327,              0.0017327,              0.0017327
                     30,                0.71341,                0.11443,                  0.062,                0.40446,                  0.973,                0.99773,                      1,                  0.995,                0.84213,                0.99773,                      1,                  0.995,                 0.9935,                0.70171,                0.05617,                0.00795,                0.34388,                 1.0351,              0.0017228,              0.0017228,              0.0017228
                     31,                0.68773,                0.12135,                0.07473,                0.40371,                0.96109,                0.99912,                      1,                  0.995,                0.83326,                0.99912,                      1,                  0.995,                  0.995,                0.72313,                0.06198,                0.00782,                0.35246,                 1.0321,              0.0017129,              0.0017129,              0.0017129
                     32,                0.69543,                0.12522,                0.06391,                0.41266,                0.96125,                0.99917,                      1,                  0.995,                0.85067,                0.99917,                      1,                  0.995,                  0.995,                 0.7167,                 0.0598,                0.00879,                0.36873,                  1.037,               0.001703,               0.001703,               0.001703
                     33,                0.70132,                0.12853,                   0.07,                 0.4132,                0.97723,                0.99916,                      1,                  0.995,                0.82419,                0.99916,                      1,                  0.995,                0.99144,                0.73242,                0.05701,                0.00906,                0.34719,                 1.0257,              0.0016931,              0.0016931,              0.0016931
                     34,                 0.6823,                0.13702,                0.05857,                0.39188,                0.95549,                0.99915,                      1,                  0.995,                0.86408,                0.99915,                      1,                  0.995,                  0.995,                0.67484,                0.05061,                0.00676,                 0.3417,                 1.0355,              0.0016832,              0.0016832,              0.0016832
                     35,                0.66447,                0.11059,                 0.0574,                0.38754,                0.94133,                0.99895,                      1,                  0.995,                0.84997,                0.99895,                      1,                  0.995,                  0.995,                0.69361,                0.05249,                0.00531,                0.34092,                 1.0266,              0.0016733,              0.0016733,              0.0016733
                     36,                0.69104,                0.11297,                 0.0568,                0.39807,                0.97257,                      1,                0.99859,                  0.995,                0.82929,                      1,                0.99859,                  0.995,                  0.995,                0.72605,                0.04945,                 0.0058,                0.35548,                 1.0399,              0.0016634,              0.0016634,              0.0016634
                     37,                0.68495,                0.11353,                0.05516,                0.39005,                0.96404,                0.99911,                      1,                  0.995,                0.83562,                0.99911,                      1,                  0.995,                  0.995,                0.70482,                0.06053,                0.00721,                0.34989,                 1.0239,              0.0016535,              0.0016535,              0.0016535
                     38,                0.68724,                0.10382,                0.05351,                0.39047,                0.96067,                0.99723,                      1,                  0.995,                0.83665,                0.99723,                      1,                  0.995,                  0.995,                0.71685,                0.05438,                0.00616,                0.34317,                 1.0411,              0.0016436,              0.0016436,              0.0016436
                     39,                0.70311,                0.11259,                0.05521,                0.39153,                0.96623,                0.99901,                      1,                  0.995,                0.83242,                0.99901,                      1,                  0.995,                  0.995,                0.69422,                0.04632,                0.00541,                0.33997,                 1.0092,              0.0016337,              0.0016337,              0.0016337
                     40,                0.65263,                0.09689,                0.04504,                 0.3625,                0.94819,                0.99902,                      1,                  0.995,                0.82153,                0.99902,                      1,                  0.995,                  0.995,                0.74942,                0.06158,                0.00451,                0.35045,                 1.0327,              0.0016238,              0.0016238,              0.0016238
                     41,                0.67859,                0.10944,                0.05337,                0.38038,                0.95687,                0.99904,                      1,                  0.995,                0.84699,                0.99904,                      1,                  0.995,                  0.995,                0.72096,                0.04347,                0.00768,                0.34282,                 1.0412,              0.0016139,              0.0016139,              0.0016139
                     42,                 0.6546,                 0.1037,                0.04835,                0.37677,                0.96277,                0.99902,                      1,                  0.995,                0.83342,                0.99902,                      1,                  0.995,                  0.995,                  0.724,                0.05473,                0.00577,                0.34141,                 1.0432,               0.001604,               0.001604,               0.001604
                     43,                0.65367,                0.09741,                0.05031,                0.37586,                0.95052,                0.99862,                      1,                  0.995,                0.84868,                0.99862,                      1,                  0.995,                  0.995,                0.72736,                0.03973,                 0.0048,                0.34069,                 1.0436,              0.0015941,              0.0015941,              0.0015941
                     44,                0.65327,                0.08956,                0.04975,                0.36251,                0.93639,                0.99888,                      1,                  0.995,                0.83931,                0.99888,                      1,                  0.995,                  0.995,                0.72267,                0.05015,                0.00451,                0.35544,                  1.041,              0.0015842,              0.0015842,              0.0015842
                     45,                0.64456,                0.08531,                0.04645,                0.36323,                0.93073,                0.99892,                      1,                  0.995,                0.84017,                0.99892,                      1,                  0.995,                0.99309,                0.68784,                0.04348,                0.00434,                0.33399,                 1.0183,              0.0015743,              0.0015743,              0.0015743
                     46,                0.66805,                0.09656,                0.04749,                0.38505,                0.95329,                0.99791,                      1,                  0.995,                0.83079,                0.99791,                      1,                  0.995,                  0.995,                0.66622,                0.04574,                 0.0058,                0.35171,                 1.0085,              0.0015644,              0.0015644,              0.0015644
